,225,30,39,222,124,203,400,211,455,77,452,396,76,441,277,376,70,93,157,0,390,82,278,353,418,414,172,176,18,9,426,446,73,234,286,314,55,90,419,79,324,448,209,173,185,72,148
0,40.71428571,36.42857143,36.14285714,40.28571429,38.0,40.42857143,41.85714286,40.42857143,39.0,34.85714286,40.42857143,40.42857143,35.85714286,38.14285714,37.14285714,40.57142857,26.14285714,25.28571429,38.57142857,35.14285714,38.85714286,29.85714286,40.57142857,40.71428571,38.42857143,41.85714286,39.14285714,40.42857143,33.28571429,36.57142857,38.71428571,37.0,26.14285714,40.0,41.28571429,40.0,31.28571429,29.57142857,41.14285714,27.57142857,42.14285714,39.0,38.71428571,40.0,39.28571429,31.85714286,42.0
